Club Name TM,Club Name Wikidata,venueLabel,Latitude,Longitude
Carlisle United ,Carlisle United F.C.,Brunton Park,54.89556,-2.91365
Carpi ,Carpi FC 1909,Stadio Alberto Braglia,44.653611,10.923333
FC Chornomorets Odesa,FC Chornomorets Odesa,Spartak Stadium,46.468389,30.748444
FC Tosno,FC Tosno,Petrovsky Stadium,59.951944,30.286389
FC Volga Nizhny Novgorod,FC Volga Nizhny Novgorod,Lokomotiv Stadium,56.30941944,43.92890556
FC Zürich,FC Zürich,Letzigrund,47.382791,8.503801
PKNS FC ,Selangor FA II,MBPJ Stadium,3.098708333,101.5937694
Pafos FC ,Pafos FC,Pafiako Stadium,34.769186,32.440144
Zira FC ,Zira FK,Zira Olympic Sport Complex Stadium,40.35892,50.29311
Ceará SC ,Ceará Sporting Club,Estádio Presidente Vargas,-3.745833,-38.536667
Orlando City SC,Orlando City SC,Exploria Stadium,28.5410645,-81.389035
Qatar SC,Qatar SC,Qatar SC Stadium,25.317155,51.512366
SC Longfor ,Sichuan FC,Chengdu Longquanyi Football Stadium,30.615778,104.307826
Zamalek SC,Zamalek SC,Cairo International Stadium,30.069111,31.312333
Ceará Sporting Club,Ceará Sporting Club,Estádio Presidente Vargas,-3.745833,-38.536667
Celta Vigo,Celta Vigo,Abanca Balaídos Stadium,42.211861,-8.740328
Celtic F.C.,Celtic F.C.,Celtic Park,55.84971111,-4.205588888
Central Coast Mariners FC,Central Coast Mariners FC,Central Coast Stadium,-33.428333,151.338056
Central Córdoba de Rosario,Central Córdoba de Rosario,Estadio Gabino Sosa,-32.97070833,-60.63627778
Cercle Brugge ,Club Brugge K.V.,Jan Breydel Stadium,51.193269,3.181311
Club Brugge ,Club Brugge K.V.,Jan Breydel Stadium,51.193269,3.181311
Cerezo Osaka,Cerezo Osaka,Kincho Stadium,34.615339,135.516572
Cerro Largo FC,Cerro Largo FC,Estadio Arquitecto Antonio Eleuterio Ubilla,-32.359708,-54.169328
Changchun Yatai F.C.,Changchun Yatai F.C.,Development Area Stadium,43.836881,125.390597
Charlton Athletic F.C.,Charlton Athletic F.C.,The Valley,51.48638889,0.036388888
Chelsea F.C.,Chelsea F.C.,Stamford Bridge stadium,51.48166667,-0.191111111
Chengdu Blades F.C.,Chengdu Blades F.C.,Chengdu Sports Centre,30.66555556,104.0647222
Esteghlal Ahvaz F.C.,Esteghlal Ahvaz F.C.,Takhti Stadium,31.314397,48.665008
Hellas Verona F.C.,Hellas Verona F.C.,Stadio Marc'Antonio Bentegodi,45.435356,10.968647
Chiangrai Utd. ,Chiangrai United F.C.,United Stadium of Chiangrai,19.956944,99.874722
Chiapas F.C.,Chiapas F.C.,Estadio Víctor Manuel Reyna,16.762783,-93.096369
Chicago Fire FC,Chicago Fire FC,Soldier Field,41.8625,-87.61666667
Chievo Verona ,A.C. ChievoVerona,Stadio Marc'Antonio Bentegodi,45.435356,10.968647
Chivas ,C.D. Chivas USA,Dignity Health Sports Park,33.86444444,-118.2611111
FC Chiasso,FC Chiasso,Stadio comunale Riva IV,45.834089,9.016686
Chongqing F.C.,Chongqing F.C.,Chongqing Olympic Sports Center,29.528723,106.502109
Cittadella ,Associazione Sportiva Cittadella,Stadio Pier Cesare Tombolato,45.642778,11.781111
Club Africain ,Club Africain,Stade Olympique de Radès,36.747775,10.27275
Club Atlético Banfield,Club Atlético Banfield,Estadio Florencio Sola,-34.750847,-58.387544
Club América,Club América,Estadio Azteca,19.302778,-99.150556
Club AméricaFutebol Clube (MG),Club América,Estadio Azteca,19.302778,-99.150556
Club Athletico Paranaense,Club Athletico Paranaense,Arena da Baixada,-25.448333,-49.276944
Club Atlético Belgrano,Club Atlético Belgrano,Julio Cesar Villagra,-31.4035,-64.206272
Club Atlético Huracán,Club Atlético Huracán,Estadio Tomás Adolfo Ducó,-34.643494,-58.396511
Club Atlético Lanús,Club Atlético Lanús,Estadio Ciudad de Lanús – Néstor Díaz Pérez,-34.717667,-58.383806
Club Atlético Osasuna,Club Atlético Osasuna,El Sadar Stadium,42.796667,-1.636944
Club Atlético River Plate,Club Atlético River Plate,Estadio Monumental Antonio Vespucio Liberti,-34.545278,-58.449444
Club Atlético River Plate,Club Atlético River Plate,Estadio Saroldi,-34.86213611,-56.20163889
Club Atlético San Lorenzo de Almagro,Club Atlético San Lorenzo de Almagro,El Nuevo Gasómetro,-34.652064,-58.440119
Club Atlético Tigre,Club Atlético Tigre,Estadio José Dellagiovanna,-34.449333,-58.542219
Club Nacional de Football,Club Nacional de Football,Cancha Parque Central,-34.8845,-56.159
Club Necaxa,Club Necaxa,Victoria Stadium,21.880653,-102.275483
Club Olimpo,Club Olimpia,Estadio Tigo Manuel Ferreira,-25.291389,-57.608611
Olimpia ,Club Olimpia,Estadio Tigo Manuel Ferreira,-25.291389,-57.608611
Club Tijuana,Club Tijuana,Caliente Stadium,32.506067,-116.993092
Club Universidad de Chile,Club Universidad de Chile,Estadio Nacional Julio Martínez Prádanos,-33.464522,-70.610586
Club Universitario de Deportes,Club Universitario de Deportes,"Estadio Monumental ""U""",-12.055694,-76.935972
Club de Fútbol Monterrey,Club de Fútbol Monterrey,BBVA Bancomer Stadium,25.670172,-100.2437
Club de Gimnasia y Esgrima La Plata,Club de Gimnasia y Esgrima La Plata,Stadium Juan Carmelo Zerillo,-34.910975,-57.932592
Clube Atlético Mineiro,Clube Atlético Mineiro,Estádio Independência,-19.908333,-43.917778
Clube Desportivo das Aves,Clube Desportivo das Aves,Estádio do CD das Aves,41.378077,-8.35476
Clube de Regatas do Flamengo,Clube de Regatas do Flamengo,Maracanã Stadium,-22.91216667,-43.23016389
Cobreloa ,Cobreloa,Estadio Municipal de Calama,-22.460278,-68.920556
Colchester United F.C.,Colchester United F.C.,Colchester Community Stadium,51.9234,0.897703
Colo Colo de Futebol e Regatas,Colo Colo de Futebol e Regatas,Q9255494,-14.790639,-39.034119
Colorado Rapids,Colorado Rapids,Dick's Sporting Goods Park,39.80555556,-104.8919444
Columbus Crew SC,Columbus Crew SC,Mapfre Stadium,40.00944444,-82.99111111
Coquimbo Unido,Coquimbo Unido,Estadio Municipal Francis,-29.965278,-71.338333
Coritiba F.C.,Coritiba F.C.,Estádio Couto Pereira,-25.421111,-49.2595
Coventry United F.C.,Coventry United F.C.,Butts Park Arena,52.406111,-1.525833
Cremonese ,U.S. Cremonese,Stadio Giovanni Zini,45.140278,10.034722
Crewe Alexandra ,Crewe Alexandra F.C.,Alexandra Stadium,53.087419,-2.435747
OFI Crete ,OFI Crete,Pankritio Stadium,35.33666667,25.10611111
Crotone ,F.C. Crotone,Stadio Ezio Scida,39.079167,17.116667
Cruz azul,Cruz azul,Cristal Arena,51.005,5.533333
Cruzeiro Esporte Clube,Cruzeiro E.C.,Mineirão,-19.865833,-43.970833
Crystal Palace F.C. ,Crystal Palace F.C.,Selhurst Park,51.39833333,-0.085555555
Crystal Palace F.C. ,Crystal Palace F.C.,Crystal Palace Park,51.4203,-0.0705
Curicó ,C.D.P. Curi,Estadio La Granja,-34.974356,-71.230707
D.C. United,D.C. United,Audi Field,38.868504,-77.012935
Daejeon Citizen FC,Daejeon Citizen FC,Daejeon World Cup Stadium,36.365229,127.325056
Dalian Yifang F.C.,Dalian Yifang F.C.,Dalian Sports Center,39.02,121.564
Dalkurd FF,Dalkurd FF,Domnarvsvallen,60.495,15.43416667
Danubio F.C.,Danubio F.C.,Jardines Del Hipódromo,-34.838719,-56.132281
Darlington ,Darlington F.C.,The Darlington Arena,54.508425,-1.534394
Defensa y Justicia,Defensa y Justicia,"Estadio Norberto ""Tito"" Tomaghello",-34.821753,-58.286511
Defensor Sporting Club,Defensor Sporting Club,Estadio Belvedere,-34.854922,-56.225689
Sporting B ,Defensor Sporting Club,Estadio Belvedere,-34.854922,-56.225689
Denizlispor,Denizlispor,Denizli Atatürk Stadium,37.766008,29.082433
Dep. La Coruña ,Deportivo La Coruña Brasil Futebol Clube,Estádio Eduardo Guinle,-22.298611,-42.541389
Deportes Iquique,Deportes Iquique,Estadio Tierra de Campeones,-20.242413,-70.132937
Deportivo Toluca F.C.,Deportivo Toluca F.C.,Nemesio Díez Stadium,19.287286,-99.666794
Luch ,FC Luch-Energiya Vladivostok,Dynamo Stadium,43.1192,131.8788
Derby County F.C.,Derby County F.C.,Pride Park Stadium,52.915,-1.447222222
Derry City F.C.,Derry City F.C.,Brandywell Stadium,54.990633,-7.336
Desp. Brasil ,Esporte Clube Tigres do Brasil,Estádio de Los Larios,-22.610833,-43.330556
Dijon FCO,Dijon FCO,Stade Gaston Gérard,47.324469,5.069247
Dinamo Bukarest ,FC Dinamo-Polyot Bishkek,Dynamo Stadion,42.83722222,74.60083333
Diyarbakirspor ,Diyarbakırspor,Diyarbakır Atatürk Stadium,37.914261,40.221461
Djurgårdens IF,Djurgårdens IF,Stockholm Olympic Stadium,59.345278,18.078889
Dnipro ,FC Dnipro,Dnipro Arena,48.460333,35.032472
Doncaster Rovers F.C.,Doncaster Rovers F.C.,Keepmoat Stadium,53.509722,-1.113889
Dunajska Streda ,FC DAC 1904 Dunajská Streda,DAC Stadion,47.99888889,17.61833333
Dundalk FC ,Dundalk F.C.,Oriel Park,53.998944,-6.416917
Dundee F.C.,Dundee F.C.,Dens Park,56.475264,-2.973194
Dundee United F.C.,Dundee United F.C.,Tannadice Park,56.474703,-2.968961
Dunfermline A. ,Dunfermline Athletic F.C.,East End Park,56.075308,-3.441906
Dynamo Dresden ,Dynamo Dresden,Rudolf-Harbig-Stadion,51.040278,13.747778
E.S. Troyes A.C.,E.S. Troyes A.C.,Stade de l'Aube,48.307561,4.098458
ENPPI Club,ENPPI Club,Petro Sport Stadium,30.027,31.446
ES Sahel ,Sahel FC,Stade Municipal,10.5903,14.3269
ES Sétif ,Entente Sportive Sétifienne,Stade 8 Mai 1945,36.186944,5.393056
Eintracht Braunschweig,Eintracht Braunschweig,Eintracht-Stadion,52.29,10.521389
Eintracht Frankfurt,Eintracht Frankfurt,Commerzbank-Arena,50.068611,8.645278
El Dakhleya,El Dakhleya,30 June Stadium,30.0199,31.3737
El Mokawloon ,El-Kanemi Warriors,El-Kanemi Stadium,11.84611111,13.14583333
El Gouna FC,El Gouna FC,El Gouna Stadium,27.36,33.66
El Makasa,El Makasa,Fayoum Stadium,29.318,30.84
El Makasa ,El Makasa,Fayoum Stadium,29.318,30.84
El Sharkia ,El Sharkia,Zagazig Stadium,30.59166667,31.47694444
El-Entag El-Harby,El-Entag El-Harby,AL-Salam Staduim,30.1745,31.435
Elazigspor  ,Elazığspor,Elazığ Atatürk Stadium,38.671111,39.197778
Elche CF ,Elche CF,Estadio Manuel Martínez Valero,38.266944,-0.663333
Energie Cottbus ,FC Energie Cottbus,Stadion der Freundschaft,51.751389,14.345556
Enisey ,Guernsey F.C.,Footes Lane,49.464624,-2.562906
Esbjerg fB,Esbjerg fB,Blue Water Arena,55.481944,8.439444
Eskisehirspor ,Eskişehirspor,Eskişehir Atatürk Stadium,39.77075,30.513833
Esperance ,FC Swift Hesperange,Stade Alphonse Theis,49.575353,6.158297
Esporte Clube Bahia,Esporte Clube Bahia,Arena Fonte Nova,-12.97881944,-38.50425278
Esporte Clube Primeiro Passo Vitória da Conquista,Esporte Clube Primeiro Passo Vitória da Conquista,Estádio Lomanto Júnior,-14.870206,-40.825936
Esteghlal Khuzestan F.C.,Esteghlal Khuzestan F.C.,Takhti Stadium,31.314397,48.665008
S.S.C. Napoli ,S.S.C. Napoli,Stadio San Paolo,40.827967,14.193008
Sanat Naft Novin Abadan F.C.,Sanat Naft Novin Abadan F.C.,Takhti Stadium,30.339444,48.292222
U.C. Sampdoriaia U19 ,U.C. Sampdoria,Stadio Luigi Ferraris,44.416431,8.952428
Estudiantes de La Plata,Estudiantes de La Plata,Estadio Jorge Luis Hirschi,-34.911925,-57.938794
Ettifaq FC,Ettifaq FC,Prince Mohamed bin Fahd Stadium,26.4272,50.1141
Evergrande Res. ,Guangzhou Evergrande Taobao Football Club,Tianhe Stadium,23.138031,113.324661
Guangzhou Evergrande Taobao Football Club,Guangzhou Evergrande Taobao Football Club,Tianhe Stadium,23.138031,113.324661
Everton F.C. ,Everton F.C.,Goodison Park,53.43888889,-2.966388888
Exc. Mouscron ,Royal Excelsior Mouscron,Stade Le Canonnier,50.733953,3.211082
F.C. Arouca,F.C. Arouca,Estádio Municipal de Arouca,40.92833333,-8.24861111
F.C. Copenhagen,F.C. Copenhagen,Parken Stadium,55.702469,12.572203
F.C. Nantes,F.C. Nantes,Stade de la Beaujoire,47.255556,-1.525278
F.C. Paços de Ferreira,F.C. Paços de Ferreira,Estádio da Mata Real,41.271353,-8.385581
F.C. Porto,F.C. Porto,Estádio do Dragão,41.161758,-8.583933
F.C. PortoB ,F.C. Porto,Estádio do Dragão,41.161758,-8.583933
FA Selangor ,Selangor FA,Shah Alam Stadium,3.08225,101.544944
FAR Rabat ,FAR Rabat,Prince Moulay Abdellah Stadium,33.959861,-6.889111
FBK Kaunas ,FBK Kaunas,Darius and Girėnas Stadium,54.897222,23.936944
FC Aarau,FC Aarau,Stadion Brügglifeld,47.383333,8.06
FC Admira Wacker Mödling,FC Admira Wacker Mödling,BSFZ-Arena,48.0976,16.3109
FC Anzhi Makhachkala,FC Anzhi Makhachkala,Khazar Stadium,42.907901,47.618587
FC Arsenal Tula,FC Arsenal Tula,Arsenal Stadium,54.174167,37.603056
FC Astana ,FC Astana,Astana Arena,51.108056,71.401667
FC Atyrau,FC Atyrau,Munayshy Stadium,47.094085,51.908324
FC Augsburg,FC Augsburg,WWK Arena,48.3233205,10.8859261
FC Baku ,FC Baku,Tofiq Bahramov Stadium,40.397333,49.852417
FC Barcelona,FC Barcelona,Camp Nou,41.380833,2.1225
FC BarcelonaB ,FC Barcelona,Camp Nou,41.380833,2.1225
FC Basel,FC Basel,St. Jakob-Park,47.541389,7.62
FC Botosani ,FC Botoșani,Stadionul Municipal,47.7483,26.6519
FC Cincinnati,FC Cincinnati,West End Stadium,39.11138889,-84.52222222
FC Dallas,FC Dallas,Toyota Stadium,33.15445833,-96.83515833
FC Dinamo Moscow,FC Dinamo Moscow,VTB Arena,55.7914,37.5597
FC Dynamo Kyiv,FC Dynamo Kyiv,Olimpiyskiy National Sports Complex,50.43333333,30.52166667
FC Girondins de Bordeaux,FC Girondins de Bordeaux,Stade Bordeaux-Atlantique,44.896944,-0.563333
FC Groningen,FC Groningen,Euroborg,53.20611111,6.591388888
FC Ingolstadt ,FC Ingolstadt 04,Audi Sportpark,48.74555556,11.485
FC Karpaty Lviv,FC Karpaty Lviv,Ukraina Stadium,49.819234,24.048193
PFK Lviv ,FC Karpaty Lviv,Ukraina Stadium,49.819234,24.048193
FC Krasnodar,FC Krasnodar-2,Krasnodar Academy Stadium,45.043395,39.035566
FC Krylia Sovetov Samara,FC Krylia Sovetov Samara,Metallurg Stadium,53.238333,50.271667
FC Lausanne-Sport,FC Lausanne-Sport,Stade Olympique de la Pontaise,46.534,6.625
FC Lokomotiv Moscow,FC Lokomotiv Moscow,"""RZD arena"" Stadium",55.80355,37.741169
FC Lorient ,F.C. Lorient,Stade du Moustoir,47.748256,-3.369733
FC Lugano,FC Lugano,Cornaredo Stadium,46.023611,8.961667
FC Luzern,FC Luzern,Swissporarena,47.033264,8.305187
FC Metalist Kharkiv,FC Metalist Kharkiv,Metalist Stadium,49.980858,36.261703
FC Metalurh Donetsk,FC Metalurh Donetsk,Metalurh Stadium,47.973222,37.798139
FC Metalurh Zaporizhzhia,FC Metalurh Zaporizhzhia,Slavutych Arena,47.859627,35.096952
FC Metz,FC Metz,Stade Saint-Symphorien,49.109813,6.159511
FC Midtjylland,FC Midtjylland,MCH Arena,56.11666667,8.95166667
FC Mordovia Saransk,FC Mordovia Saransk,Start Stadium,54.17583611,45.192175
FC Nordsjælland,FC Nordsjælland,Farum Park,55.815847,12.353289
FC Orenburg,FC Orenburg,Gazovik Stadium,51.78506389,55.22108056
FC Petrolul Ploiești,FC Petrolul Ploiești,Stadionul Ilie Oană,44.940278,26.033333
FC Red Bull Salzburg,FC Red Bull Salzburg,Red Bull Arena,47.81625,12.99822222
FC Rostov,FC Rostov,Rostov Arena,47.20833333,39.74166667
FC Schaffhausen,FC Schaffhausen,Stadion Breite,47.7042,8.62583
FC Schalke 04,FC Schalke 04,Veltins Arena,51.55450278,7.067588888
FC Shakhtar Donetsk,FC Shakhtar Donetsk,Donbass Arena,48.020833,37.809722
FC Sion,FC Sion,Stade Tourbillon,46.233333,7.376389
FC Sochaux-Montbéliard,FC Sochaux-Montbéliard,Stade Auguste Bonal,47.512403,6.811094
FC St. Pauli ,FC St. Pauli,Millerntor-Stadion,53.554444,9.967778
FC Steaua Bucuresti ,FC Steaua Bucuresti,National Arena,44.4372,26.1525
FC Thun,FC Thun,Arena Thun,46.744817,7.606075
FC Tokyo,FC Tokyo U-23,Nishigaoka Soccer Stadium,35.769167,139.707778
FC Tom Tomsk,FC Tom Tomsk,Trud Stadium,56.47416667,84.95666667
FC Ufa,FC Ufa,Neftyanik Stadium,54.8259,56.0614
FC Universitatea Cluj,FC Universitatea Cluj,Cluj Arena,46.768333,23.572222
FC Ural Yekaterinburg,FC Ural Yekaterinburg,Central Stadium Yekaterinburg,56.832222,60.573611
FC Vaduz,FC Vaduz,Rheinpark Stadion,47.14027778,9.510277777
FC Viitorul ,FC Viitorul Constanța,Viitorul Stadium,44.26388889,28.55583333
FC Wacker Innsbruck,FC Wacker Innsbruck,Tivoli-Neu,47.255972,11.410789
FC Wil 1900,FC Wil 1900,kybunpark,47.408333,9.306389
FC Zenit Saint Petersburg,FC Zenit Saint Petersburg,Gazprom Arena,59.972953,30.220533
Robur Siena,Robur Siena,Stadio Artemio Franchi,43.321667,11.326111
FC Zorya Luhansk,FC Zorya Luhansk,Avanhard Stadium,48.559444,39.321111
FK Austria Wien,FK Austria Wien,Generali Arena,48.162306,16.386694
FK Haugesund,FK Haugesund,Haugesund Stadion,59.413068,5.279379
FK Lyn ,Lyn Fotball,Bislett Stadion,59.924722,10.733333
FK Moskau ,FC Moscow,Eduard Streltsov Stadium,55.716389,37.656389
FK Qabala ,Gabala FC,Gabala City Stadium,40.98519444,47.8425
FK Oleksandriya ,FC Oleksandriya,CSC Nika Stadium,48.674722,33.103611
FK Olimps Riga ,JFK Olimps,Daugava Stadium,56.95516667,24.15886111
FK Sparta ,FK Spartak Zlatibor Voda,Subotica City Stadium,46.081781,19.676958
FSV Frankfurt ,FSV Frankfurt,Frankfurter Volksbank Stadion,50.128056,8.723333
Fajr Sepasi ,Fajr Sepasi F.C.,Hafezieh Stadium,29.623865,52.556062
Falkirk FC ,Falkirk F.C.,Falkirk Stadium,56.005136,-3.754269
Fehérvár ,Falkirk F.C.,Falkirk Stadium,56.005136,-3.754269
Fenerbahçe S.K.,Fenerbahçe S.K.,Şükrü Saracoğlu Stadium,40.987778,29.036667
Feralpisalò ,Feralpisalò,Stadio Lino Turina,45.6039,10.5128
Ferencváros ,Ferencvárosi TC II,Groupama Arena,47.47527778,19.09611111
Feyenoord,Feyenoord,De Kuip,51.89389444,4.523252777
Fgura Utd ,Feyenoord,De Kuip,51.89389444,4.523252777
Figueirense Futebol Clube FC ,Figueirense Futebol Clube,Estádio Orlando Scarpelli,-27.585556,-48.586667
Fleetwood ,Fleetwood Town F.C.,Highbury Stadium,53.916508,-3.024728
Fluminense de Feira Futebol Clube,Fluminense de Feira Futebol Clube,Estádio Joia da Princesa,-12.244583,-38.97235
Foggia ,A.C.D. Foggia Calcio,Stadio Pino Zaccheria,41.454444,15.5425
Foolad F.C.,Foolad F.C.,Ghadir Stadium,31.320278,48.669167
Fortuna Düsseldorf,Fortuna Düsseldorf,Merkur Spielarena,51.261539,6.733083
Fredrikstad FK,Fredrikstad FK,Fredrikstad Stadion,59.213049,10.92732
Frosinone ,Frosinone Calcio,Benito Stirpe Stadium,41.63426,13.321866
Fulham F.C. ,Fulham F.C.,Craven Cottage,51.475,-0.221666666
G.D. Estoril Praia,G.D. Estoril Praia,Estádio António Coimbra da Mota,38.716,-9.406
GAIS,GAIS,Gamla Ullevi,57.70611111,11.98055556
GD Sou. Tigers ,Guangdong Sunray Cave F.C.,Guangdong Olympic Stadium,23.137656,113.403519
GIF Sundsvall,GIF Sundsvall,NP3 Arena,62.39416667,17.30111111
GKS Bełchatów,GKS Bełchatów,Stadion GKS,51.365839,19.381692
GZ Hengfeng ,Guizhou HengFeng ZhiCHeng,Guiyang Olympic Sports Center,26.620721,106.605749
Galatasaray S.K.,Galatasaray S.K.,Türk Telekom Stadium,41.102861,28.990417
Gamba Osaka,Gamba Osaka,Suita Stadium,34.811372,135.54085
Gangwon FC,Gangwon FC,Gangneung Stadium,37.773561,128.897503
Gefle IF,Gefle IF,Strömvallen,60.67305556,17.1275
Gençlerbirliği S.K.,Gençlerbirliği S.K.,Ankara 19 Mayıs Stadium,39.940094,32.845681
S.P. La Fiorita ,S.P. La Fiorita,Stadio Olimpico,43.97125,12.476972
S.S. Lazio ,S.S. Lazio,Stadio Olimpico,41.933872,12.454714
Getafe CF,Getafe CF,Coliseum Alfonso Pérez,40.325556,-3.714722
Gil Vicente F.C.,Gil Vicente F.C.,Estádio Cidade de Barcelos,41.53388889,-8.611111111
Giresunspor ,Giresunspor,Giresun Atatürk Stadium,40.90972222,38.37194444
Girona ,Girona FC,Montilivi Stadium,41.961389,2.828611
Gloria Bistrița,Gloria Bistrița,Stadionul Gloria,47.130833,24.502778
Godoy Cruz Antonio Tomba,Godoy Cruz Antonio Tomba,Estadio Malvinas Argentinas,-32.889564,-68.879994
Goiás Esporte Clube,Goianésia Esporte Clube,Q10277471,-16.34634722,-48.95576111
Gold Coast United FC,Gold Coast United FC,Robina Stadium,-28.066944,153.378889
Gomel ,FC Gomel,Central Stadium,52.43652778,31.01236111
Gornik Leczna ,Górnik Łęczna,Arena Lublin,51.2319,22.5575
Górnik Zabrze,Górnik Zabrze,Ernest Pohl Stadium,50.296317,18.768564
Granada CF,Granada CF,Estadio Nuevo Los Cármeness,37.152967,-3.595736
Grasshopper Club Zürich,Grasshopper Club Zürich,Letzigrund,47.382791,8.503801
Grazer AK 1902 ,Grazer AK,UPC-Arena,47.046111,15.454444
Grenoble ,Grenoble Foot 38,Stade des Alpes,45.187428,5.740099
Gretna F.C.,Gretna F.C.,Raydale Park,54.993214,-3.071919
